quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01v1,Q01v2,Q01v3,Q01_corr,Q02v1,Q02v2,Q02_corr,Q03v1,Q03v2,Q03v3,Q03v4,Q03_corr,Q04v1,Q04v2,Q04v3,Q04v4,Q04v5,Q04v6,Q04v7,Q04_corr,Q05,Q05_corr,Q06v1,Q06v2,Q06_corr,Q07v1,Q07v2,Q07v3,Q07v4,Q07v5,Q07_corr,Q08v1,Q08v2,Q08v3,Q08v4,Q08_corr,Q09v1,Q09v2,Q09v3,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11v1,Q11v2,Q11v3,Q11_corr,Q12v1,Q12v2,Q12v3,Q12_corr,Q13,Q13_corr,Q14,Q14_corr,Q15v1,Q15v2,Q15v3,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18v1,Q18v2,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W04Q01,17273,15-Sep-13,3:55:00 PM,2059349,9997,1,9997,1,9997,1,1,9997,9997,9997,4,0,9997,9997,9997,9997,1,9997,9997,1,1,1,1,9997,1,9997,9997,1,9997,9997,1,2,9997,9997,9997,0,9997,1,9997,1,3,9997,0,9997,1,9997,1,9997,1,9997,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,5,0,1,1,1,1
W04Q01,17300,15-Sep-13,4:26:00 PM,2218696,1,9997,9997,1,1,9997,1,9997,9997,9997,4,0,1,9997,9997,9997,9997,9997,9997,1,1,1,9997,1,1,9997,1,9997,9997,9997,1,9997,9997,1,9997,1,1,9997,9997,1,9997,1,1,9997,1,9997,1,1,9997,9997,1,1,1,1,1,9997,1,9997,1,1,1,1,1,9997,1,1,2,1,4,0
W04Q01,17351,15-Sep-13,5:07:00 PM,2029348,9997,1,9997,1,9997,1,1,1,9997,9997,9997,1,1,9997,9997,9997,9997,9997,9997,1,1,1,1,9997,1,1,9997,9997,9997,9997,1,9997,9997,9997,5,0,9997,9997,1,1,9997,1,1,1,9997,9997,1,9997,9997,1,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,1,1,3,1,3,0
W04Q01,17387,15-Sep-13,5:40:00 PM,4259653,1,9997,9997,1,9997,1,1,9997,9997,9997,1,1,9997,9997,9997,1,9997,9997,9997,1,1,1,9997,1,1,9997,9997,9997,1,9997,1,9997,9997,9997,5,0,1,9997,9997,1,1,9997,1,9997,9997,5,0,9997,9997,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,9997,1,1,1,1,4,0
W04Q01,17456,15-Sep-13,6:41:00 PM,4413685,9997,1,9997,1,9997,1,1,9997,9997,1,9997,1,9997,1,9997,9997,9997,9997,9997,1,1,1,1,9997,1,9997,9997,9997,9997,1,1,9997,1,9997,9997,1,1,9997,9997,1,9997,4,0,9997,1,9997,1,9997,1,9997,1,1,1,4,0,9997,9997,1,1,1,1,4,0,9997,5,0,3,1,2,0
W04Q01,17471,15-Sep-13,6:51:00 PM,4589122,9997,5,9997,0,1,9997,1,9997,9997,1,9997,1,2,9997,9997,9997,9997,9997,9997,0,3,0,1,9997,1,9997,9997,1,9997,9997,1,9997,3,9997,9997,0,9997,1,9997,1,1,9997,1,9997,4,9997,0,9997,9997,4,0,3,0,1,1,9997,9997,2,0,1,1,3,0,9997,5,0,2,1,2,0
W04Q01,17473,15-Sep-13,6:51:00 PM,2350520,1,9997,9997,1,1,9997,1,9997,1,9997,9997,1,9997,9997,9997,9997,9997,9997,4,0,1,1,3,9997,0,9997,9997,9997,1,9997,1,2,9997,9997,9997,0,1,9997,9997,1,9997,4,0,9997,9997,5,0,9997,9997,1,1,1,1,2,0,1,9997,9997,1,2,0,1,1,2,9997,0,1,1,2,0
W04Q01,17493,15-Sep-13,7:12:00 PM,2008667,1,9997,9997,1,1,9997,1,9997,1,9997,9997,1,9997,9997,9997,1,9997,9997,9997,1,1,1,1,9997,1,9997,9997,1,9997,9997,1,9997,1,9997,9997,1,9997,1,9997,1,9997,1,1,9997,9997,1,1,9997,9997,1,1,1,1,1,1,9997,1,9997,1,1,1,1,1,1,9997,1,1,1,3,0
W04Q01,17494,15-Sep-13,7:13:00 PM,2046688,1,9997,9997,1,1,9997,1,1,9997,9997,9997,1,9997,9997,9997,1,9997,9997,9997,1,1,1,9997,1,1,1,9997,9997,9997,9997,1,9997,9997,9997,5,0,9997,9997,3,0,4,9997,0,9997,9997,1,1,9997,1,9997,1,1,1,1,1,9997,1,9997,1,1,1,1,1,3,9997,0,2,1,1,1
W04Q01,17506,15-Sep-13,7:23:00 PM,3670186,1,9997,9997,1,1,9997,1,9997,1,9997,9997,1,9997,9997,9997,9997,1,9997,9997,1,1,1,9997,1,1,9997,9997,9997,1,9997,1,9997,9997,1,9997,1,9997,1,9997,1,2,9997,0,9997,1,9997,1,9997,1,9997,1,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,1,1,1,4,0
W04Q01,17529,15-Sep-13,7:34:00 PM,4138955,9997,9997,5,0,9997,1,1,9997,9997,9997,1,1,9997,1,9997,9997,9997,9997,9997,1,1,1,9997,1,1,9997,9997,9997,9997,2,0,9997,9997,4,9997,0,1,9997,9997,1,2,9997,0,9997,9997,5,0,2,9997,9997,0,1,1,1,1,9997,9997,1,1,1,1,1,1,4,9997,0,1,1,1,1
W04Q01,17533,15-Sep-13,7:36:00 PM,4316487,1,9997,9997,1,1,9997,1,9997,1,9997,9997,1,9997,9997,9997,1,9997,9997,9997,1,1,1,9997,1,1,9997,1,9997,9997,9997,1,9997,9997,9997,5,0,9997,9997,2,0,9997,1,1,9997,1,9997,1,1,9997,9997,1,1,1,1,1,9997,9997,1,1,1,1,1,1,1,9997,1,2,1,5,0
W04Q01,17557,15-Sep-13,7:55:00 PM,1953893,1,9997,9997,1,9997,1,1,9997,9997,9997,1,1,9997,1,9997,9997,9997,9997,9997,1,1,1,9997,1,1,9997,1,9997,9997,9997,1,9997,1,9997,9997,1,1,9997,9997,1,9997,1,1,1,9997,9997,1,9997,1,9997,1,1,1,1,1,9997,9997,1,1,1,1,1,1,1,9997,1,1,1,4,0
W04Q01,17589,15-Sep-13,8:25:00 PM,2645228,9997,9997,1,1,1,9997,1,9997,1,9997,9997,1,9997,9997,9997,5,9997,9997,9997,0,1,1,9997,2,0,9997,9997,1,9997,9997,1,9997,2,9997,9997,0,9997,9997,1,1,9997,4,0,1,9997,9997,1,4,9997,9997,0,1,1,1,1,1,9997,9997,1,1,1,1,1,9997,5,0,4,1,2,0
W04Q01,17609,15-Sep-13,8:39:00 PM,4181143,9997,9997,1,1,1,9997,1,9997,9997,1,9997,1,1,9997,9997,9997,9997,9997,9997,1,1,1,1,9997,1,9997,1,9997,9997,9997,1,9997,9997,9997,5,0,9997,1,9997,1,9997,1,1,9997,1,9997,1,1,9997,9997,1,1,1,1,1,1,9997,9997,1,1,1,1,1,4,9997,0,1,1,4,0
W04Q01,17650,15-Sep-13,9:09:00 PM,2269457,1,9997,9997,1,1,9997,1,9997,1,9997,9997,1,9997,9997,9997,1,9997,9997,9997,1,1,1,9997,1,1,9997,9997,1,9997,9997,1,1,9997,9997,9997,1,1,9997,9997,1,9997,1,1,9997,9997,4,0,9997,9997,1,1,1,1,1,1,9997,9997,1,1,1,1,1,1,1,9997,1,1,1,1,1
W04Q01,17754,15-Sep-13,10:49:00 PM,4202065,1,9997,9997,1,9997,1,1,9997,9997,9997,5,0,4,9997,9997,9997,9997,9997,9997,0,1,1,1,9997,1,9997,9997,9997,1,9997,1,9997,1,9997,9997,1,9997,1,9997,1,4,9997,0,9997,9997,5,0,9997,9997,1,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,5,0,3,1,2,0
W04Q01,17790,15-Sep-13,11:23:00 PM,1207178,9997,9997,1,1,1,9997,1,9997,1,9997,9997,1,9997,9997,9997,9997,9997,9997,1,1,3,0,1,9997,1,1,9997,9997,9997,9997,1,3,9997,9997,9997,0,1,9997,9997,1,5,9997,0,9997,4,9997,0,9997,1,9997,1,1,1,2,0,9997,9997,1,1,5,0,1,1,9997,1,1,1,1,2,0
W04Q01,17792,15-Sep-13,11:25:00 PM,3680842,9997,9997,3,0,2,9997,0,1,9997,9997,9997,1,9997,9997,2,9997,9997,9997,9997,0,5,0,9997,1,1,9997,9997,9997,9997,1,1,9997,9997,2,9997,0,4,9997,9997,0,9997,2,0,9997,9997,5,0,9997,9997,2,0,1,1,1,1,2,9997,9997,0,3,0,2,0,2,9997,0,3,1,4,0
