quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01v1,Q01v2,Q01v3,Q01_corr,Q02v1,Q02v2,Q02_corr,Q03v1,Q03v2,Q03v3,Q03v4,Q03_corr,Q04v1,Q04v2,Q04v3,Q04v4,Q04v5,Q04v6,Q04v7,Q04_corr,Q05,Q05_corr,Q06v1,Q06v2,Q06_corr,Q07v1,Q07v2,Q07v3,Q07v4,Q07v5,Q07_corr,Q08v1,Q08v2,Q08v3,Q08v4,Q08_corr,Q09v1,Q09v2,Q09v3,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11v1,Q11v2,Q11v3,Q11_corr,Q12v1,Q12v2,Q12v3,Q12_corr,Q13,Q13_corr,Q14,Q14_corr,Q15v1,Q15v2,Q15v3,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18v1,Q18v2,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W04Q01,16471,14-Sep-13,9:55:00 AM,2923593,1,9997,9997,1,1,9997,1,9997,1,9997,9997,1,9997,9997,1,9997,9997,9997,9997,1,1,1,9997,1,1,9997,9997,9997,1,9997,1,9997,9997,9997,5,0,9997,1,9997,1,9997,4,0,1,9997,9997,1,9997,9997,1,1,1,1,1,1,9997,3,9997,0,1,1,1,1,1,9997,1,1,1,3,0
W04Q01,16484,14-Sep-13,10:40:00 AM,3226739,9997,9997,1,1,1,9997,1,1,9997,9997,9997,1,9997,9997,9997,9997,9997,1,9997,1,1,1,9997,1,1,1,9997,9997,9997,9997,1,9997,1,9997,9997,1,9997,1,9997,1,2,9997,0,9997,9997,1,1,9997,9997,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,9997,1,1,2,1,1,1
W04Q01,16489,14-Sep-13,10:57:00 AM,3316362,9997,1,9997,1,9997,1,1,9997,9997,9997,4,0,2,9997,9997,9997,9997,9997,9997,0,1,1,1,9997,1,9997,9997,9997,1,9997,1,2,9997,9997,9997,0,9997,9997,1,1,9997,1,1,9997,9997,4,0,9997,1,9997,1,1,1,1,1,1,9997,9997,1,1,1,5,0,5,9997,0,1,1,3,0
W04Q01,16493,14-Sep-13,11:04:00 AM,4426147,1,9997,9997,1,9997,1,1,9997,1,9997,9997,1,9997,9997,9997,9997,1,9997,9997,1,1,1,9997,1,1,9997,9997,1,9997,9997,1,9997,1,9997,9997,1,9997,9997,3,0,1,9997,1,9997,1,9997,1,9997,1,9997,1,1,1,1,1,1,9997,9997,1,1,1,1,1,9997,1,1,1,1,2,0
W04Q01,16522,14-Sep-13,12:26:00 PM,656596,9997,9997,1,1,1,9997,1,9997,9997,9997,1,1,9997,9997,9997,9997,1,9997,9997,1,1,1,1,9997,1,9997,9997,1,9997,9997,1,9997,1,9997,9997,1,4,9997,9997,0,4,9997,0,9997,1,9997,1,1,9997,9997,1,1,1,1,1,1,9997,9997,1,1,1,1,1,9997,1,1,3,1,1,1
W04Q01,16531,14-Sep-13,12:45:00 PM,4046750,1,9997,9997,1,1,9997,1,9997,9997,9997,4,0,9997,9997,1,9997,9997,9997,9997,1,1,1,1,9997,1,9997,9997,1,9997,9997,1,9997,9997,1,9997,1,9997,9997,3,0,1,9997,1,1,9997,9997,1,9997,1,9997,1,1,1,1,1,9997,2,9997,0,1,1,2,0,1,9997,1,1,1,5,0
W04Q01,16549,14-Sep-13,1:38:00 PM,1430689,1,9997,9997,1,1,9997,1,9997,9997,9997,1,1,9997,1,9997,9997,9997,9997,9997,1,1,1,5,9997,0,9997,9997,9997,9997,3,0,4,9997,9997,9997,0,9997,9997,4,0,4,9997,0,1,9997,9997,1,9997,5,9997,0,1,1,1,1,9997,9997,1,1,1,1,5,0,5,9997,0,3,1,1,1
W04Q01,16559,14-Sep-13,2:03:00 PM,2721925,9997,1,9997,1,9997,1,1,1,9997,9997,9997,1,9997,9997,9997,9997,9997,1,9997,1,1,1,1,9997,1,1,9997,9997,9997,9997,1,9997,1,9997,9997,1,9997,1,9997,1,2,9997,0,9997,9997,1,1,9997,9997,1,1,1,1,1,1,9997,3,9997,0,1,1,1,1,1,9997,1,1,1,1,1
W04Q01,16567,14-Sep-13,2:28:00 PM,4238642,9997,9997,1,1,1,9997,1,9997,1,9997,9997,1,9997,9997,9997,1,9997,9997,9997,1,1,1,1,9997,1,1,9997,9997,9997,9997,1,9997,1,9997,9997,1,9997,1,9997,1,1,9997,1,9997,9997,1,1,9997,9997,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,9997,1,1,1,1,4,0
W04Q01,16581,14-Sep-13,2:43:00 PM,547508,1,9997,9997,1,9997,1,1,9997,1,9997,9997,1,9997,9997,9997,9997,2,9997,9997,0,1,1,9997,1,1,1,9997,9997,9997,9997,1,9997,9997,1,9997,1,9997,1,9997,1,1,9997,1,2,9997,9997,0,1,9997,9997,1,1,1,1,1,9997,3,9997,0,1,1,1,1,5,9997,0,5,1,2,0
W04Q01,16607,14-Sep-13,3:38:00 PM,3824363,9997,1,9997,1,1,9997,1,9997,9997,1,9997,1,9997,9997,1,9997,9997,9997,9997,1,1,1,9997,1,1,9997,9997,1,9997,9997,1,9997,9997,9997,5,0,1,9997,9997,1,9997,4,0,9997,1,9997,1,2,9997,9997,0,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,1,1,3,1,1,1
W04Q01,16614,14-Sep-13,4:02:00 PM,2955426,1,9997,9997,1,9997,1,1,9997,1,9997,9997,1,9997,9997,9997,9997,9997,1,9997,1,1,1,1,9997,1,9997,9997,9997,9997,1,1,9997,9997,1,9997,1,9997,9997,1,1,1,9997,1,1,9997,9997,1,5,9997,9997,0,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,1,1,1,4,0
W04Q01,16666,14-Sep-13,5:36:00 PM,3974193,9997,1,9997,1,1,9997,1,9997,9997,9997,4,0,9997,9997,9997,9997,9997,9997,1,1,1,1,1,9997,1,1,9997,9997,9997,9997,1,9997,9997,9997,1,1,9997,9997,1,1,9997,4,0,1,9997,9997,1,9997,1,9997,1,1,1,1,1,9997,1,9997,1,1,1,1,1,5,9997,0,3,1,4,0
W04Q01,16672,14-Sep-13,5:45:00 PM,4196273,1,9997,9997,1,9997,1,1,9997,1,9997,9997,1,9997,9997,1,9997,9997,9997,9997,1,1,1,3,9997,0,9997,9997,9997,9997,1,1,9997,9997,9997,5,0,1,9997,9997,1,4,9997,0,1,9997,9997,1,1,9997,9997,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,1,1,1,1,2,0
W04Q01,16682,14-Sep-13,6:04:00 PM,3485290,9997,1,9997,1,9997,1,1,9997,1,9997,9997,1,9997,9997,9997,9997,9997,1,9997,1,1,1,1,9997,1,1,9997,9997,9997,9997,1,9997,2,9997,9997,0,9997,9997,1,1,4,9997,0,9997,9997,5,0,9997,9997,1,1,1,1,1,1,9997,1,9997,1,1,1,2,0,2,9997,0,1,1,2,0
W04Q01,16715,14-Sep-13,7:12:00 PM,2666549,9997,1,9997,1,9997,1,1,1,9997,9997,9997,1,9997,1,9997,9997,9997,9997,9997,1,1,1,1,9997,1,9997,9997,9997,4,9997,0,9997,9997,9997,5,0,1,9997,9997,1,9997,4,0,9997,9997,1,1,9997,9997,1,1,1,1,1,1,1,9997,9997,1,1,1,5,0,9997,1,1,4,1,4,0
W04Q01,16734,14-Sep-13,7:46:00 PM,3834663,9997,1,9997,1,4,9997,0,9997,1,9997,9997,1,9997,9997,9997,1,9997,9997,9997,1,4,0,9997,1,1,1,9997,9997,9997,9997,1,1,9997,9997,9997,1,9997,9997,1,1,1,9997,1,2,9997,9997,0,2,9997,9997,0,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,5,0,1,1,4,0
W04Q01,16756,14-Sep-13,8:47:00 PM,274657,9997,9997,1,1,9997,1,1,9997,9997,1,9997,1,9997,9997,9997,1,9997,9997,9997,1,1,1,9997,1,1,9997,9997,9997,9997,1,1,9997,9997,9997,5,0,1,9997,9997,1,9997,1,1,9997,9997,5,0,9997,9997,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,1,2,1,4,0
W04Q01,16773,14-Sep-13,9:27:00 PM,465645,9997,9997,3,0,1,9997,1,1,9997,9997,9997,1,9997,9997,1,9997,9997,9997,9997,1,1,1,9997,1,1,9997,9997,9997,9997,5,0,9997,9997,9997,1,1,9997,1,9997,1,9997,1,1,9997,9997,4,0,9997,5,9997,0,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,1,1,1,1,2,0
W04Q01,16821,15-Sep-13,12:22:00 AM,3273666,9997,9997,1,1,9997,1,1,1,9997,9997,9997,1,9997,9997,1,9997,9997,9997,9997,1,1,1,9997,1,1,9997,1,9997,9997,9997,1,9997,9997,9997,5,0,1,9997,9997,1,1,9997,1,9997,1,9997,1,9997,1,9997,1,1,1,1,1,9997,9997,1,1,1,1,2,0,9997,5,0,3,1,1,1
W04Q01,16838,15-Sep-13,1:16:00 AM,635278,9997,1,9997,1,1,9997,1,1,9997,9997,9997,1,9997,9997,9997,9997,9997,1,9997,1,1,1,1,9997,1,1,9997,9997,9997,9997,1,1,9997,9997,9997,1,1,9997,9997,1,9997,1,1,9997,9997,1,1,9997,9997,1,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,1,1,1,1,3,0
W04Q01,16842,15-Sep-13,1:24:00 AM,2182043,9997,9997,3,0,9997,3,0,9997,9997,1,9997,1,9999,9999,9999,9999,9999,9999,9999,0,5,0,9997,1,1,9997,9997,9997,2,9997,0,9997,3,9997,9997,0,9997,5,9997,0,9997,2,0,1,9997,9997,1,9997,9997,5,0,3,0,2,0,9997,9997,5,0,5,0,5,0,2,9997,0,4,1,2,0
W04Q01,16862,15-Sep-13,2:14:00 AM,2973618,1,9997,9997,1,1,9997,1,1,9997,9997,9997,1,1,9997,9997,9997,9997,9997,9997,1,1,1,3,9997,0,9997,9997,9997,9997,1,1,9997,9997,1,9997,1,9997,9997,1,1,2,9997,0,1,9997,9997,1,9997,9997,1,1,1,1,3,0,9997,9997,1,1,1,1,1,1,9997,1,1,1,1,1,1
W04Q01,16901,15-Sep-13,4:06:00 AM,2685947,9997,9997,1,1,1,9997,1,1,9997,9997,9997,1,9997,2,9997,9997,9997,9997,9997,0,1,1,9997,2,0,9997,9997,9997,1,9997,1,9997,9997,9997,2,0,1,9997,9997,1,1,9997,1,9997,9997,1,1,9997,4,9997,0,1,1,3,0,9997,1,9997,1,2,0,1,1,9997,5,0,3,1,2,0
W04Q01,16914,15-Sep-13,4:58:00 AM,4007367,9997,9997,1,1,4,9997,0,1,9997,9997,9997,1,9997,9997,1,9997,9997,9997,9997,1,1,1,1,9997,1,9997,1,9997,9997,9997,1,9997,9997,9997,5,0,9997,9997,1,1,9997,2,0,9997,9997,5,0,9997,1,9997,1,1,1,3,0,1,9997,9997,1,1,1,2,0,2,9997,0,4,1,1,1
W04Q01,16977,15-Sep-13,8:08:00 AM,4565929,1,9997,9997,1,9997,1,1,9997,1,9997,9997,1,9997,1,9997,9997,9997,9997,9997,1,1,1,9997,1,1,9997,1,9997,9997,9997,1,9997,9997,9997,1,1,5,9997,9997,0,9997,2,0,9997,9997,5,0,1,9997,9997,1,1,1,2,0,9997,9997,1,1,1,1,1,1,9997,1,1,2,1,4,0
W04Q01,16993,15-Sep-13,8:54:00 AM,3123158,9997,9997,1,1,9997,1,1,9997,1,9997,9997,1,9997,9997,9997,9997,9997,1,9997,1,1,1,1,9997,1,9997,9997,9997,1,9997,1,2,9997,9997,9997,0,9997,1,9997,1,9997,1,1,9997,9997,5,0,5,9997,9997,0,4,0,1,1,9997,9997,1,1,1,1,1,1,1,9997,1,2,1,5,0
W04Q01,17073,15-Sep-13,11:53:00 AM,4285966,9997,1,9997,1,1,9997,1,1,9997,9997,9997,1,9997,9997,9997,9997,1,9997,9997,1,1,1,1,9997,1,9997,9997,1,9997,9997,1,9997,9997,9997,3,0,1,9997,9997,1,2,9997,0,1,9997,9997,1,9997,9997,1,1,1,1,1,1,1,9997,9997,1,1,1,1,1,9997,5,0,2,1,2,0
W04Q01,17102,15-Sep-13,12:46:00 PM,1673528,9997,1,9997,1,1,9997,1,9997,9997,1,9997,1,9999,9999,9999,9999,9999,9999,9999,0,1,1,9997,1,1,9997,1,9997,9997,9997,1,9997,9997,9997,5,0,9997,9997,1,1,9997,1,1,9997,2,9997,0,9997,1,9997,1,1,1,1,1,9997,9997,1,1,1,1,1,1,9997,1,1,1,1,4,0
W04Q01,17151,15-Sep-13,1:53:00 PM,2959831,9997,9997,1,1,1,9997,1,9997,9997,9997,1,1,1,9997,9997,9997,9997,9997,9997,1,1,1,1,9997,1,9997,1,9997,9997,9997,1,9997,9997,9997,1,1,9997,1,9997,1,1,9997,1,9997,1,9997,1,1,9997,9997,1,1,1,1,1,9997,1,9997,1,1,1,1,1,9997,5,0,5,1,4,0
W04Q01,17174,15-Sep-13,2:18:00 PM,2737544,9997,1,9997,1,9997,3,0,9997,9997,4,9997,0,9997,9997,1,9997,9997,9997,9997,1,3,0,9997,1,1,9997,9997,9997,5,9997,0,9997,9997,1,9997,1,9999,9999,9999,0,2,9997,0,2,9997,9997,0,2,9997,9997,0,2,0,4,0,9997,4,9997,0,1,1,4,0,5,9997,0,4,1,2,0
