quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02v1,Q02v2,Q02_corr,Q03v1,Q03v2,Q03_corr,Q04v1,Q04v2,Q04_corr,Q05v1,Q05v2,Q05_corr,Q06v1,Q06v2,Q06_corr,Q07v1,Q07v2,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11v1,Q11v2,Q11v3,Q11_corr,Q12v1,Q12v2,Q12v3,Q12v4,Q12v5,Q12_corr,Q13v1,Q13v2,Q13_corr,Q14v1,Q14v2,Q14v3,Q14_corr,Q15v1,Q15v2,Q15v3,Q15v4,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19v1,Q19v2,Q19_corr,Q20,Q20_corr
W07Q01,24429,05-Oct-13,6:28:00 PM,4061349,1,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,1,9997,1,9997,9997,2,9997,9997,0,9997,1,1,9997,9997,1,1,9997,9997,9997,1,1,1,1,1,1,1,1,9997,1,1,1,1
W07Q01,24464,05-Oct-13,8:58:00 PM,4192481,1,1,9997,1,1,1,9997,1,1,9997,1,9997,2,0,9997,1,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,9997,9997,2,0,3,9997,9997,9997,9997,0,9997,1,1,9997,1,9997,1,9997,5,9997,9997,0,1,1,1,1,1,1,9997,1,1,1,1
W07Q01,24485,05-Oct-13,9:59:00 PM,4196273,3,0,9997,1,1,9997,1,1,2,9997,0,1,9997,1,1,9997,1,4,9997,0,9997,2,0,2,9997,0,1,9997,1,1,9997,9997,1,1,9997,9997,9997,9997,1,9997,1,1,9997,9997,1,1,9997,9997,9997,1,1,1,1,1,1,1,1,2,9997,0,3,0
W07Q01,24487,05-Oct-13,10:03:00 PM,4308072,1,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,9997,1,1,9997,9997,9997,9997,1,1,1,9997,1,9997,9997,1,1,9997,9997,1,9997,1,1,1,1,1,3,0,5,9997,0,1,1
W07Q01,24491,05-Oct-13,10:11:00 PM,274657,2,0,1,9997,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,9997,9997,4,0,9997,9997,2,9997,9997,0,1,9997,1,1,9997,9997,1,1,9997,9997,9997,1,1,1,1,1,3,0,9997,1,1,2,0
W07Q01,24555,06-Oct-13,1:46:00 AM,2182043,4,0,1,9997,1,2,9997,0,3,9997,0,1,9997,1,2,9997,0,9997,1,1,9997,3,0,2,9997,0,9997,1,1,9997,5,9997,0,9997,9997,9997,9997,4,0,4,9997,0,9997,3,9997,0,4,9997,9997,9997,0,3,0,4,0,2,0,3,9997,0,1,1
W07Q01,24567,06-Oct-13,3:39:00 AM,3834663,1,1,9997,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,9997,3,0,1,9997,1,1,9997,1,9997,1,1,9997,9997,2,0,9997,9997,9997,5,9997,0,1,9997,1,9997,1,9997,1,9997,9997,1,9997,1,1,1,1,1,3,0,1,9997,1,3,0
W07Q01,24587,06-Oct-13,5:10:00 AM,4386436,2,0,5,9997,0,3,9997,0,2,9997,0,9997,4,0,1,9997,1,9997,2,0,9997,3,0,9997,5,0,2,9997,0,1,9997,9997,1,9997,9997,9997,9997,3,0,5,9997,0,3,9997,9997,0,9997,9997,9997,1,1,4,0,6,0,2,0,9997,5,0,3,0
W07Q01,24599,06-Oct-13,6:17:00 AM,1773515,1,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,1,9997,1,9997,9997,9997,9997,1,1,9997,3,0,9997,9997,1,1,1,9997,9997,9997,1,1,1,1,1,1,1,9997,5,0,1,1
W07Q01,24644,06-Oct-13,8:55:00 AM,523057,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,1,9997,9997,1,1,9997,9997,9997,9997,1,9997,1,1,1,9997,9997,1,1,9997,9997,9997,1,1,1,1,1,1,1,9997,5,0,1,1
W07Q01,24675,06-Oct-13,10:20:00 AM,2923593,1,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,9997,1,9997,9997,9997,1,9997,1,1,9997,1,9997,1,9997,1,9997,4,9997,9997,0,1,1,1,1,1,1,1,9997,1,3,0
W07Q01,24683,06-Oct-13,10:56:00 AM,2737544,2,0,9997,1,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,9997,4,0,9997,1,1,9997,1,1,1,9997,1,9997,9997,2,0,9997,9997,9997,9997,2,0,9997,1,1,9997,1,9997,1,9997,4,9997,9997,0,5,0,4,0,1,1,9997,5,0,1,1
W07Q01,24686,06-Oct-13,11:02:00 AM,4428346,1,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,1,1,9997,1,9997,1,9997,9997,9997,1,9997,1,1,9997,1,9997,1,9997,1,9997,1,9997,9997,1,1,1,1,1,1,1,1,9997,1,1,1
W07Q01,24711,06-Oct-13,12:13:00 PM,2546118,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,9997,1,9997,1,1,9997,9997,9997,9997,1,9997,1,1,9997,1,9997,1,9997,1,9997,9997,1,1,1,1,1,1,1,1,9997,1,3,0
W07Q01,24719,06-Oct-13,12:29:00 PM,2029348,1,1,9997,1,1,9997,1,1,1,9997,1,2,9997,0,9997,1,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,9997,1,9997,1,9997,1,9997,9997,9997,1,9997,1,1,9997,1,9997,1,5,9997,9997,9997,0,1,1,1,1,1,1,9997,1,1,3,0
W07Q01,24756,06-Oct-13,1:57:00 PM,2666549,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,4,9997,0,9997,1,1,1,9997,1,5,9997,0,9997,9997,1,1,1,9997,9997,9997,9997,1,1,9997,1,9997,9997,2,0,9997,9997,9997,2,0,4,0,3,0,3,0,9997,5,0,1,1
